"Statistic","University League Table 2027"
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Continuation,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2026 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Continuation","Overall Score"
"59","City St George's, University of London","130","3.14","3.24","0.52","79.7","78.5","17.0","1909","590","90.5","600"
"60","Norwich University of the Arts","126","3.09","2.96","0.13","56.8","58.1","14.2","2639","859","92.7","597"
"61","Goldsmiths, University of London","120","3.04","3.11","0.64","58.1","62.8","11.6","2793","999","87.5","594"
"62","University of Kent","115","3.04","3.26","0.67","65.1","65.5","15.5","1908","957","92.3","593"
"63","University of Chichester","117","3.25","2.41","0.36","69.3","75.2","15.3","1143","781","93.2","592"
"64","University of Hull","119","3.21","3.10","0.37","78.0","77.3","15.7","1809","755","89.8","590"
"65","Falmouth University","128","3.09","3.17","0.20","57.3","63.2","14.7","1831","503","91.7","589"
"66","University of Salford","124","3.14","3.00","0.27","68.8","70.7","17.0","2544","730","91.0","588"
"67","University of Plymouth","130","3.14","3.01","0.45","78.7","79.2","17.2","1859","505","91.7","580"
"68","University of Huddersfield","117","3.08","2.80","0.47","68.4","69.4","14.9","2292","772","90.5","579"
"69","University of Sunderland","121","3.28","2.75","0.13","65.0","72.0","13.1","2195","652","87.8","578"
"70","University of Hertfordshire","112","3.19","3.02","0.32","71.6","72.4","17.0","1662","895","91.6","576"
"71","University of Derby","108","3.22","2.52","0.25","72.1","72.8","13.5","1680","589","89.8","575"
"72","Cardiff Metropolitan University","116","3.13","2.83","0.28","73.2","72.2","16.6","2165","938","87.3","574"
"73","Arts University Bournemouth","138","3.14","2.63","0.20","56.2","61.6","14.7","799","676","95.2","573"
"73","Bristol, UWE","117","3.14","2.96","0.25","73.7","74.2","16.1","1470","674","90.3","573"
