"Statistic","University League Table "
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Continuation,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2023 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Continuation","Overall Score"
"40","Swansea University","136","3.86","3.20","0.47","74.9","74.6","15.9","1427","764","94.7","675"
"41","Aston University, Birmingham","134","3.86","3.06","0.52","78.6","81.0","17.0","1414","586","96.8","673"
"42","Nottingham Trent University","127","3.98","3.10","0.20","67.6","72.0","15.1","1320","730","95.3","671"
"42","City, University of London","139","3.72","3.25","0.56","76.4","77.5","18.2","1922","611","94.4","671"
"44","Heriot-Watt University","176","3.68","3.22","0.67","76.5","77.9","18.4","2135","1346","92.7","670"
"45","University of Lincoln","127","3.93","2.98","0.39","66.6","71.1","15.1","1450","956","94.6","669"
"46","Oxford Brookes University","118","3.83","2.87","0.39","73.1","76.5","13.0","1369","760","93.7","664"
"47","University of Portsmouth","128","3.95","3.00","0.41","71.7","72.1","15.8","1730","768","93.0","660"
"48","University of Kent","127","3.82","3.26","0.67","70.1","72.8","16.5","1376","761","94.1","658"
"49","Ulster University","134","4.00","3.20","0.55","72.8","77.9","18.3","1872","755","89.0","653"
"50","University of Sussex","133","3.81","3.29","0.69","66.3","72.3","17.8","1518","839","95.4","652"
"51","University of Stirling","177","3.93","3.11","0.67","69.9","72.8","19.2","1116","866","94.4","649"
"52","Bangor University","129","3.98","3.23","0.46","67.0","74.2","17.1","1344","1017","93.8","639"
"53","Queen Mary University of London","151","3.77","3.39","0.61","73.5","73.2","15.6","1852","612","95.0","638"
"54","University of West London","118","4.17","2.67","0.13","66.8","70.5","12.9","1671","809","89.8","633"
"55","Bournemouth University","119","3.79","2.77","0.66","75.2","76.5","18.3","1657","747","92.2","630"
"56","Norwich University of the Arts","132","3.90","2.96","0.13","64.4","70.0","15.3","1860","726","92.0","629"
"57","Edge Hill University","135","3.87","2.67","0.32","67.4","73.3","15.1","1578","974","91.9","627"
"58","SOAS University of London","140","3.71","3.24","0.57","72.7","69.4","15.0","2349","462","92.2","624"
"58","University of Dundee","180","3.85","3.23","0.41","78.9","76.7","15.4","1796","606","94.0","624"
"60","Manchester Metropolitan University","134","3.93","3.11","0.36","65.5","70.9","18.0","2194","744","91.8","619"
"61","Falmouth University","132","3.97","3.17","0.20","59.4","63.1","14.3","1670","550","","617"
"61","University of Chester","129","3.81","2.50","0.48","67.7","70.9","15.1","2021","811","93.4","617"
"63","Sheffield Hallam University","121","3.77","2.93","0.28","72.3","75.6","17.1","2429","460","91.7","616"
"64","University of Plymouth","137","3.89","3.01","0.45","75.2","75.5","16.7","1890","536","92.9","615"
"65","Keele University","131","3.82","3.07","0.52","75.6","79.1","15.1","1435","620","94.3","613"
"66","Leeds Beckett University","124","3.88","2.68","0.36","67.4","75.0","17.5","1488","761","92.0","607"
"67","Bristol, University of the West of England","128","3.90","2.96","0.25","75.1","75.2","16.8","1029","608","92.0","606"
"68","University of Brighton","122","3.76","3.05","0.40","71.9","74.7","17.0","2070","532","92.1","603"
"69","Coventry University","126","3.99","2.90","0.23","67.8","73.3","13.0","2337","677","83.2","602"
"70","University of Huddersfield","129","3.91","2.80","0.47","65.0","71.8","14.6","1883","730","87.7","600"
"71","Cardiff Metropolitan University","132","3.82","2.83","0.28","68.0","75.6","18.9","1618","729","90.1","598"
"72","Arts University Bournemouth","145","3.89","2.63","0.20","56.3","69.3","14.4","1328","367","94.6","594"
"73","Royal Agricultural University","125","3.95","2.33","0.53","67.9","79.2","21.3","2437","727","95.9","592"
"74","Goldsmiths, University of London","127","3.51","3.11","0.64","62.7","65.6","13.4","2476","906","88.9","591"
"75","University of Sunderland","129","3.98","2.75","0.13","61.1","72.6","13.9","1997","569","86.6","589"
"76","University of Hull","127","3.92","3.10","0.37","71.7","76.2","16.5","1761","789","88.9","588"
"77","Liverpool Hope University","123","3.97","2.52","0.62","59.9","71.1","14.9","789","1183","91.2","585"
"78","St George's, University of London","149","3.58","3.23","0.38","90.7","89.2","14.2","2119","368","94.6","583"
"79","Glasgow Caledonian University","175","3.91","2.95","0.31","75.7","79.4","22.6","1616","254","93.4","582"
"80","University of Suffolk","113","3.82","2.69","0.12","79.0","77.7","13.1","2699","656","84.2","581"
"81","Liverpool John Moores University","132","3.92","2.82","0.45","67.5","71.9","18.1","1248","397","91.1","580"
"82","University of Salford","130","3.84","3.00","0.27","69.3","73.8","18.1","1477","715","91.8","579"
"83","University of Chichester","132","3.97","2.41","0.36","60.8","68.5","15.2","918","676","95.0","574"
"83","University of Hertfordshire","119","3.92","3.02","0.32","69.5","73.9","17.6","1413","847","91.4","574"
"85","University of Worcester","127","3.86","2.32","0.34","71.3","80.6","17.2","1416","660","90.4","572"
"86","St Mary's University, Twickenham","118","4.09","2.72","0.47","66.6","69.3","16.4","1141","766","89.2","571"
"87","Kingston University","128","3.92","2.89","0.39","68.9","70.8","18.1","1690","622","92.8","569"
"87","University for the Creative Arts","129","3.90","3.06","0.11","51.1","60.7","12.6","2463","276","89.4","569"
"89","Edinburgh Napier University","156","3.97","2.86","0.45","75.1","76.7","21.4","1869","318","91.4","560"
"90","Birmingham City University","130","3.90","2.70","0.19","68.0","75.0","17.1","1244","533","91.4","559"
"91","University of Roehampton","106","3.93","3.11","0.44","55.8","68.3","17.9","2251","879","89.8","554"
"92","Teesside University, Middlesbrough","122","3.97","2.76","0.32","73.1","76.3","17.2","1886","471","85.7","552"
"92","Robert Gordon University","152","4.05","2.54","0.17","76.3","80.3","19.2","1267","554","92.4","552"
"94","Leeds Arts University","148","3.95","1.74","0.48","61.5","69.5","16.5","836","268","97.1","548"
"95","Brunel University London","125","3.75","2.88","0.75","65.7","71.1","18.2","1536","507","91.9","547"
"96","University of Winchester","122","3.88","2.53","0.38","66.0","72.9","18.1","1256","464","92.3","545"
"96","Solent University (Southampton)","120","3.92","2.16","0.25","60.4","68.1","15.3","1710","744","90.1","545"
"98","University of Gloucestershire","119","3.81","2.43","0.31","64.8","70.2","15.4","1515","420","91.6","544"
"99","University of Central Lancashire","129","3.86","2.81","0.30","69.0","71.8","15.6","1618","435","88.6","542"
"100","University of Derby","125","3.99","2.52","0.25","66.6","70.6","14.9","1400","368","87.6","537"
"101","University of South Wales","129","3.90","2.66","0.21","64.0","69.7","16.6","1967","205","89.0","535"
"102","Abertay University","160","3.98","2.66","0.64","67.0","70.5","22.8","1041","630","89.0","532"
"102","Bath Spa University","121","3.92","2.71","0.46","59.4","64.1","19.6","1328","475","94.0","532"
"102","Queen Margaret University, Edinburgh","165","3.91","2.59","0.37","65.2","69.3","20.6","954","404","94.5","532"
"105","University of Bradford","132","3.80","2.85","0.53","76.2","79.3","20.1","960","486","90.7","528"
"106","Canterbury Christ Church University","114","3.84","2.72","0.32","73.6","76.8","16.2","1742","644","87.2","526"
"107","York St John University","119","4.02","2.43","0.47","60.4","70.5","17.7","1541","529","91.4","523"
"108","Staffordshire University","121","3.92","2.78","0.17","61.8","62.5","17.4","1327","502","90.1","513"
"109","De Montfort University","113","3.78","2.69","0.39","67.1","71.1","18.3","1478","966","89.0","507"
"110","University of Greenwich","122","3.94","2.86","0.51","68.4","71.8","20.9","1059","550","90.0","502"
"110","Middlesex University","113","3.87","2.78","0.45","70.8","72.8","15.8","2631","370","81.6","502"
"112","University of Westminster, London","116","3.81","3.00","0.47","62.7","67.4","19.6","1387","539","89.9","501"
"113","London South Bank University","115","3.83","2.78","0.23","65.0","70.1","17.1","1885","318","89.4","487"
"114","Buckinghamshire New University","109","4.02","2.25","0.13","64.3","68.6","16.7","2239","838","85.5","486"
"115","University of Northampton","115","3.84","2.22","0.24","67.0","75.5","17.4","1780","661","88.6","484"
"116","Plymouth Marjon University","120","4.13","2.49","0.29","64.6","71.6","16.9","606","60","87.2","483"
"117","University of Wolverhampton","113","3.90","2.56","0.35","64.6","71.3","15.6","1910","322","85.8","474"
"118","University of Wales Trinity Saint David","141","3.96","2.50","0.10","58.0","66.3","20.3","1204","479","87.8","473"
"118","Anglia Ruskin University","113","3.94","2.81","0.24","65.3","72.7","18.8","1374","490","87.0","473"
"120","University of Bolton","120","4.07","1.89","0.20","59.0","66.0","15.1","1664","617","86.0","472"
"121","Leeds Trinity University","113","4.01","2.11","0.37","59.1","70.8","18.1","1418","414","89.9","458"
"122","University of Cumbria","121","3.82","2.30","0.25","66.1","74.9","18.1","1139","277","89.0","440"
"123","London Metropolitan University","100","4.11","2.63","0.20","57.9","65.7","19.3","2259","957","83.0","431"
"123","University of East London","115","3.87","2.58","0.35","61.0","72.4","25.0","977","578","90.6","431"
"125","Newman University, Birmingham","115","3.94","2.03","0.43","62.2","68.4","16.7","1626","362","87.3","425"
"126","University of Bedfordshire","112","3.92","2.71","0.23","66.0","72.2","22.7","1184","470","83.7","423"
"127","University of Buckingham","130","3.97","","","70.6","73.3","16.4","1413","503","91.5","416"
"128","University of the West of Scotland","141","3.84","2.48","0.45","67.8","74.4","22.4","1757","390","85.1","399"
"129","Bishop Grosseteste University","107","4.03","1.92","0.39","64.7","75.7","17.6","1218","865","87.2","398"
"130","Glyndwr University, Wrexham","115","4.10","2.19","0.32","63.3","67.1","22.4","1238","509","77.3","314"
