"Statistic","University League Table "
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Continuation,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2023 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Continuation","Overall Score"
"1","University of Cambridge","209","","3.53","1.00","90.9","82.7","11.6","2693","1113","99.3","1000"
"2","University of Oxford","205","","3.49","0.95","90.3","83.0","10.3","2753","600","97.9","984"
"3","London School of Economics and Political Science, University of London","195","3.91","3.53","0.65","87.4","78.6","12.8","1868","789","99.1","955"
"4","University of St Andrews","212","4.18","3.31","0.71","82.8","83.5","11.9","2761","713","97.6","917"
"5","University of Bath","181","4.01","3.31","0.73","90.6","84.5","15.3","2009","922","97.7","892"
"6","Imperial College London","206","3.96","3.63","0.80","95.7","84.4","11.9","3033","578","95.0","891"
"7","Loughborough University","160","3.98","3.30","0.71","84.1","80.7","14.1","1959","1456","96.9","889"
"8","Durham University","185","3.88","3.34","0.70","85.6","82.2","13.5","2357","898","97.5","882"
"9","UCL (University College London)","190","3.92","3.50","0.72","85.2","79.5","10.9","2217","387","97.2","862"
"10","Lancaster University","153","4.00","3.37","0.80","78.6","78.6","14.0","2216","967","97.1","843"
"11","University of Warwick","173","4.00","3.42","0.59","85.0","80.9","13.9","1654","869","96.1","835"
"12","The University of Edinburgh","197","3.72","3.42","0.76","82.3","78.1","12.3","1366","738","97.5","801"
"13","University of Surrey","143","4.03","3.29","0.62","83.5","82.2","14.4","2331","769","93.8","799"
"14","University of Birmingham","158","3.80","3.43","0.63","82.4","81.0","14.6","1668","1517","96.1","796"
"15","University of Exeter","164","3.93","3.35","0.69","80.6","77.5","16.0","1519","1024","97.0","786"
"16","University of Bristol","174","3.78","3.51","0.67","83.1","78.4","13.9","1619","763","97.4","783"
"17","University of York","157","3.93","3.45","0.65","79.8","78.1","14.2","1231","799","96.6","780"
"17","University of Southampton","156","3.91","3.41","0.71","79.8","78.9","14.0","1874","703","96.9","780"
"19","University of Manchester","167","3.73","3.47","0.66","81.7","78.7","13.9","2201","576","96.5","761"
"20","University of Sheffield","157","3.94","3.40","0.66","77.8","77.8","14.4","1963","567","96.7","758"
"21","Cardiff University","153","3.81","3.36","0.59","82.5","79.7","13.9","1836","797","96.2","753"
"22","University of Leeds","162","3.71","3.35","0.65","80.4","79.4","14.4","2603","403","96.2","748"
"23","University of East Anglia UEA","139","3.81","3.38","0.56","78.3","78.8","13.4","1937","1172","94.7","747"
"24","University of Liverpool","147","3.77","3.34","0.61","75.2","76.1","13.6","2458","896","96.7","743"
"24","King's College London, University of London","171","3.74","3.46","0.69","85.8","81.0","14.0","1832","822","95.0","743"
"26","University of Glasgow","209","3.85","3.43","0.57","78.3","78.9","14.4","1675","543","96.5","742"
"27","Queen's University Belfast","156","3.83","3.27","0.70","83.2","79.6","15.4","1435","710","95.5","733"
"28","University of Nottingham","154","3.80","3.34","0.68","82.1","80.3","15.7","1846","840","96.3","727"
"29","University of the Arts London","150","3.79","3.18","0.14","59.3","68.5","11.5","2957","307","93.9","724"
"30","Newcastle University","151","3.71","3.29","0.70","79.3","77.0","14.3","2152","625","96.4","717"
"31","University of Strathclyde","210","3.95","3.29","0.65","80.3","79.6","18.8","1605","500","95.2","713"
"32","University of Essex","126","3.88","3.23","0.65","68.6","72.4","14.6","2500","1470","90.0","712"
"33","Harper Adams University","134","3.90","2.61","0.25","71.0","86.7","13.8","1954","2103","95.5","710"
"34","University of Reading","131","3.91","3.24","0.63","75.9","75.4","15.8","2074","780","94.4","705"
"35","University of Aberdeen","185","4.07","3.03","0.73","76.1","76.6","15.1","1880","708","96.1","695"
"36","Northumbria University, Newcastle","142","3.84","3.06","0.68","75.3","77.3","15.5","1696","613","89.8","689"
"37","Royal Holloway, University of London","139","3.89","3.30","0.70","67.8","70.5","15.9","1742","724","95.1","683"
"38","University of Leicester","132","3.86","3.30","0.63","72.1","75.3","14.4","2263","638","94.7","681"
"39","Aberystwyth University","130","4.17","3.00","0.69","60.3","67.4","14.9","2910","600","94.2","678"
