Statistic,University League Table 2016
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Green Score,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Green Score,Overall Score
60,Harper Adams,331,4.11,2.66,0.23,67.0,19.2,1009,525,58.3,90.6,56.0,637
60,Northumbria,360,4.01,2.71,0.29,61.7,17.2,1016,404,67.6,87.6,54.0,637
62,"West of England, Bristol",324,3.97,2.70,0.29,68.2,19.7,1134,702,71.4,84.9,34.8,633
63,Bradford,312,3.97,2.95,0.23,72.1,17.9,1071,549,74.0,83.8,64.9,632
63,Hull,326,4.11,2.70,0.56,63.1,17.4,1168,471,71.2,86.1,24.3,632
63,Robert Gordon,382,4.05,2.35,0.21,80.2,19.6,954,273,67.0,83.4,27.0,632
66,Roehampton,284,4.10,2.83,0.67,56.3,16.8,1656,501,67.2,81.7,32.6,625
66,Ulster,308,4.09,2.91,0.84,56.5,16.6,1105,491,66.4,82.3,38.7,625
68,Liverpool John Moores,342,4.07,2.79,0.26,61.1,18.5,1076,262,74.9,84.2,43.7,624
69,Buckingham,299,4.26,,,75.3,10.5,1061,743,50.7,86.3,,623
70,Bath Spa,315,4.11,2.52,0.30,55.4,19.0,1069,228,74.5,89.9,61.1,622
70,Falmouth,307,4.07,2.04,0.33,69.8,21.5,1319,389,72.0,85.5,36.2,622
72,Sheffield Hallam,317,4.02,2.76,0.16,59.2,17.4,1455,404,65.7,87.0,66.8,619
73,Manchester Metropolitan,345,3.99,2.74,0.24,60.0,17.8,1054,365,69.8,84.5,73.1,618
74,Huddersfield,324,4.12,2.65,0.32,69.2,18.1,1072,360,64.1,83.0,40.4,613
75,Hertfordshire,316,3.92,2.61,0.21,67.9,17.8,969,890,67.0,86.1,47.6,612
76,Brighton,315,4.00,2.84,0.21,64.4,17.3,821,373,68.2,87.0,65.0,608
77,Chichester,306,4.14,2.50,0.25,56.8,17.5,768,364,69.3,89.9,65.6,604
78,Queen Margaret,340,4.03,2.65,0.22,62.4,19.1,981,334,74.2,82.4,43.4,603
79,Cardiff Metropolitan,314,4.03,3.00,0.09,58.2,19.0,963,624,60.6,82.3,65.5,601
80,Gloucestershire,312,4.06,2.38,0.18,57.9,19.9,1244,403,72.4,86.3,69.6,595
80,"University of the Arts, London",311,3.85,3.12,0.17,54.5,16.5,1478,279,61.8,85.6,46.3,595
82,Edge Hill,317,4.16,2.22,0.27,58.2,15.7,1303,436,65.8,86.2,49.1,592
83,Glasgow Caledonian,370,3.93,2.67,0.24,67.9,21.2,1178,326,70.1,83.2,67.8,591
83,Northampton,281,4.18,2.09,0.25,59.3,20.3,1216,1066,64.5,85.0,48.4,591
85,Royal Agricultural University,306,3.81,1.40,0.26,71.6,20.9,1846,947,62.6,96.3,55.9,579
86,Aberystwyth,310,3.92,2.84,0.76,52.6,17.9,819,485,65.1,89.2,25.1,570
86,Winchester,305,4.09,2.32,0.30,51.1,16.9,822,293,75.5,85.2,38.3,570
88,Birmingham City,298,4.04,2.64,0.14,62.4,20.4,1044,544,67.3,84.5,55.0,568
89,Middlesex,271,4.07,2.58,0.35,56.4,18.6,2277,527,61.3,77.7,62.9,565
90,Plymouth,308,4.03,2.74,0.50,57.4,17.7,985,358,67.0,84.8,83.0,561
