"Statistic","University League Table 2026"
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Continuation,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2025 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Continuation","Overall Score"
"1","University of Cambridge","206","3.14","3.53","1.00","89.7","82.0","11.1","3118","1294","98.4","1000"
"2","University of Oxford","203","3.14","3.49","0.95","90.0","78.5","9.7","2797","631","97.6","978"
"3","London School of Economics and Political Science, University of London","187","3.13","3.53","0.65","91.0","79.2","12.7","1995","708","97.6","926"
"4","University of St Andrews","215","3.32","3.31","0.71","86.9","85.3","12.1","3217","806","98.0","922"
"5","Durham University","181","3.13","3.34","0.70","88.0","80.5","12.7","2811","1130","96.8","900"
"6","Imperial College London","202","3.12","3.63","0.80","95.7","86.9","11.9","3580","640","96.2","898"
"7","Loughborough University","157","3.13","3.30","0.71","85.2","80.4","13.8","1985","1748","96.5","865"
"8","University of Bath","173","3.15","3.31","0.73","87.9","83.2","15.6","2102","1047","97.2","844"
"9","University of Warwick","168","3.17","3.42","0.59","85.2","79.3","12.8","2106","1025","95.3","830"
"10","Lancaster University","150","3.18","3.37","0.80","80.4","75.7","14.1","2627","1061","95.1","804"
"11","University of Exeter","163","3.05","3.35","0.69","80.5","78.0","14.2","2083","1295","96.1","792"
"12","University of York","158","3.04","3.45","0.65","81.8","79.7","13.2","1427","1025","96.5","785"
"13","UCL (University College London)","173","3.04","3.50","0.72","86.6","79.0","11.2","1718","450","96.1","783"
"14","University of Birmingham","161","3.04","3.43","0.63","83.4","81.1","14.0","1859","1548","94.7","779"
"15","University of Bristol","173","3.01","3.51","0.67","82.7","76.0","13.4","1999","949","97.2","775"
"16","University of Sheffield","158","3.17","3.40","0.66","81.6","78.4","13.7","2371","691","96.1","771"
"17","University of Southampton","159","3.06","3.41","0.71","83.2","77.3","13.6","2125","842","95.5","768"
"18","The University of Edinburgh","197","2.91","3.42","0.76","80.7","77.1","11.1","1629","675","95.6","762"
"19","King's College London, University of London","168","2.96","3.46","0.69","83.8","79.2","12.5","2559","975","94.5","760"
"19","University of Surrey","137","3.18","3.29","0.62","82.4","82.3","13.5","2322","748","92.1","760"
"21","University of Leeds","162","2.97","3.35","0.65","80.4","77.4","12.9","3503","504","95.1","755"
"22","Cardiff University","152","3.04","3.36","0.59","84.4","80.3","12.7","1974","1043","94.7","752"
"23","University of Liverpool","150","3.12","3.34","0.61","81.0","79.1","13.3","2476","905","93.8","749"
"24","Queen's University Belfast","158","3.09","3.27","0.70","86.0","80.7","14.7","1656","855","93.8","736"
"25","Heriot-Watt University","173","3.06","3.22","0.67","81.4","79.3","14.5","2663","1754","89.0","732"
"26","University of East Anglia UEA","135","3.07","3.38","0.56","80.0","78.1","12.7","2218","1267","92.1","721"
"26","University of Nottingham","154","3.05","3.34","0.68","82.3","78.6","14.6","2200","788","95.7","721"
"28","University of Manchester","166","2.95","3.47","0.66","80.1","76.1","13.5","2316","584","95.5","713"
"29","University of Essex","126","3.15","3.23","0.65","70.2","75.0","14.2","3183","1655","88.0","710"
"30","University of Aberdeen","184","3.20","3.03","0.73","81.3","77.7","13.2","2234","881","92.3","705"
