"Statistic","University League Table 2026"
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Continuation,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2025 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Continuation","Overall Score"
"31","University of Glasgow","215","2.99","3.43","0.57","81.1","74.4","13.7","2082","699","92.9","696"
"31","Newcastle University","151","3.04","3.29","0.70","80.6","78.0","14.2","2456","733","93.3","696"
"33","University of Leicester","132","3.14","3.30","0.63","80.0","76.8","13.9","2433","678","94.8","695"
"33","University of the Arts London","145","3.07","3.18","0.14","59.3","65.9","11.1","3467","390","91.9","695"
"35","Royal Holloway, University of London","136","3.09","3.30","0.70","77.1","73.1","15.6","1716","820","93.1","692"
"36","University of Reading","127","3.13","3.24","0.63","78.9","78.3","15.3","2319","653","91.6","686"
"37","Northumbria University, Newcastle","137","3.09","3.06","0.68","77.1","77.4","14.3","2094","805","87.4","685"
"38","University of Strathclyde","203","3.13","3.29","0.65","82.6","79.9","18.0","1601","602","91.7","678"
"39","University of Dundee","185","3.14","3.23","0.41","82.5","79.2","14.4","2071","683","91.6","663"
"40","Swansea University","133","3.10","3.20","0.47","80.1","79.0","15.0","1834","911","91.4","660"
"41","Queen Mary University of London","154","3.01","3.39","0.61","77.2","74.1","13.9","2229","756","92.5","655"
"42","University of Portsmouth","120","3.15","3.00","0.41","73.6","73.8","15.3","2206","993","92.7","643"
"43","University of Sussex","132","3.06","3.29","0.69","71.0","71.3","15.5","1857","870","91.8","642"
"44","Aston University, Birmingham","133","3.08","3.06","0.52","81.2","79.5","18.0","1603","657","93.2","640"
"45","Aberystwyth University","124","3.23","3.00","0.69","71.6","70.6","14.5","2168","629","92.3","639"
"46","Nottingham Trent University","125","3.14","3.10","0.20","70.4","72.3","14.3","1729","845","92.3","638"
"47","Harper Adams University","131","3.06","2.61","0.25","73.9","86.2","14.7","1724","2164","91.7","637"
"48","Oxford Brookes University","118","3.09","2.87","0.39","76.7","77.8","12.4","1467","793","89.3","634"
"49","University of Kent","125","3.05","3.26","0.67","70.6","71.3","15.8","1670","811","91.9","628"
"50","Manchester Metropolitan University","135","3.15","3.11","0.36","70.2","71.4","17.7","2551","771","89.6","613"
"51","University of Stirling","173","3.04","3.11","0.67","74.1","73.1","18.4","1463","1043","91.8","611"
"52","University of Lincoln","117","3.13","2.98","0.39","71.8","72.4","14.9","1518","1000","91.8","610"
"53","City St George's, University of London (formerly City)","136","3.09","3.24","0.52","84.2","79.4","16.6","1992","573","89.9","601"
"54","Ulster University","129","3.16","3.20","0.55","76.5","76.1","18.2","2190","846","85.9","596"
"55","Bangor University","129","3.10","3.23","0.46","69.2","74.0","15.2","1353","1004","89.3","595"
"55","University of Suffolk","113","3.12","2.69","0.12","71.6","78.0","12.8","3292","1826","82.4","595"
"57","Edge Hill University","129","3.04","2.67","0.32","76.7","79.3","14.7","1257","875","91.2","594"
"58","Norwich University of the Arts","129","3.13","2.96","0.13","61.8","65.3","14.9","2229","767","90.7","589"
"59","Coventry University","122","3.18","2.90","0.23","73.1","77.1","12.6","2701","703","81.1","586"
"60","University of Chichester","129","3.17","2.41","0.36","72.8","73.6","14.6","1036","740","90.8","585"
"61","Arts University Bournemouth","148","3.13","2.63","0.20","56.8","69.8","14.4","929","579","94.0","582"
"62","Bristol, UWE","126","3.05","2.96","0.25","75.0","74.7","15.8","1431","716","91.5","580"
"62","Falmouth University","130","3.08","3.17","0.20","56.9","68.8","14.1","1790","573","89.8","580"
"62","SOAS University of London","133","2.90","3.24","0.57","74.3","71.2","14.3","2437","596","86.0","580"
"65","University of Huddersfield","121","3.09","2.80","0.47","73.9","75.5","15.0","1983","662","88.1","577"
"66","Cardiff Metropolitan University","130","3.15","2.83","0.28","73.5","75.5","18.4","1802","773","87.3","571"
"67","Brunel University of London","123","3.07","2.88","0.75","68.1","70.3","16.3","3757","523","88.2","565"
"68","Keele University","127","3.06","3.07","0.52","77.4","74.4","14.7","1545","616","92.2","561"
"69","St Mary's University, Twickenham","98","3.22","2.72","0.47","78.2","77.9","14.2","1235","943","87.5","560"
"70","University of West London","117","3.20","2.67","0.13","68.8","71.9","13.7","2151","856","85.4","559"
"71","Goldsmiths, University of London","123","3.04","3.11","0.64","66.0","64.4","13.3","2409","951","84.8","558"
"72","University of Gloucestershire","118","3.05","2.43","0.31","75.3","76.3","15.3","1566","489","90.8","549"
"72","Bournemouth University","112","2.99","2.77","0.66","74.8","75.4","18.7","1620","882","89.7","549"
"74","University of Chester","124","3.12","2.50","0.48","74.6","75.8","15.7","2431","809","87.4","546"
"75","University of Plymouth","134","3.04","3.01","0.45","79.1","76.4","17.2","1824","504","91.5","545"
"76","Liverpool John Moores University","133","3.15","2.82","0.45","72.4","74.0","17.9","1322","423","88.8","543"
"77","University of South Wales","129","3.14","2.66","0.21","69.7","75.8","16.6","2353","149","89.1","540"
"78","Leeds Beckett University","120","3.15","2.68","0.36","69.5","71.9","16.7","1553","859","87.6","539"
"79","University of Derby","116","3.17","2.52","0.25","72.0","76.8","14.0","1445","412","87.1","537"
"79","University of Salford","125","3.10","3.00","0.27","75.5","75.7","18.3","2138","735","88.2","537"
"81","University of Hull","120","3.16","3.10","0.37","74.4","74.4","15.8","1651","679","88.3","534"
"82","University of Hertfordshire","116","3.15","3.02","0.32","72.0","73.9","18.0","1483","839","89.6","530"
"83","University of Sunderland","124","3.26","2.75","0.13","64.1","72.4","13.6","2062","607","85.1","528"
"84","Sheffield Hallam University","114","3.05","2.93","0.28","74.8","75.1","18.1","2527","468","89.8","526"
"85","Glasgow Caledonian University","172","3.09","2.95","0.31","80.3","80.8","23.1","1912","205","89.0","522"
"86","University of Central Lancashire","125","3.15","2.81","0.30","73.1","74.8","14.7","2360","461","85.3","517"
"87","Robert Gordon University","156","3.18","2.54","0.17","80.8","81.6","19.3","1376","610","89.4","516"
"88","University of Brighton","118","3.01","3.05","0.40","72.2","73.4","15.6","2030","459","88.1","512"
"89","Kingston University","125","3.13","2.89","0.39","64.1","70.1","17.3","1727","677","90.4","511"
"90","Liverpool Hope University","118","3.24","2.52","0.62","63.6","73.1","15.6","803","1229","86.6","508"
"90","Teesside University","117","3.12","2.76","0.32","78.3","79.4","16.8","2083","510","84.7","508"
"92","Bath Spa University","120","3.06","2.71","0.46","62.7","67.9","16.6","1499","481","90.8","503"
"93","University of Worcester","122","3.14","2.32","0.34","77.1","78.8","16.7","2026","659","85.4","502"
"94","University of Staffordshire","114","3.10","2.78","0.17","72.6","72.7","19.4","1518","626","88.0","493"
"94","Abertay University","154","3.22","2.66","0.64","71.0","75.7","22.6","1024","611","85.6","493"
"96","Edinburgh Napier University","151","3.10","2.86","0.45","78.8","76.9","20.0","2222","375","85.2","492"
"97","Buckinghamshire New University","101","3.17","2.25","0.13","68.5","77.6","14.5","2314","1223","81.9","486"
"98","University of Winchester","120","3.07","2.53","0.38","67.7","73.4","16.7","1375","600","90.0","483"
"99","Canterbury Christ Church University","109","3.08","2.72","0.32","74.0","75.5","15.2","2364","721","82.8","479"
"100","Plymouth Marjon University","113","3.30","2.49","0.29","74.2","70.0","14.7","1063","117","86.7","478"
"101","Arts University Plymouth","129","3.29","","","53.8","66.1","10.9","720","796","88.3","476"
"102","University of Greater Manchester","114","3.18","1.89","0.20","73.6","77.6","13.5","2013","692","82.7","474"
"103","Birmingham City University","126","3.05","2.70","0.19","69.6","72.6","17.8","1722","464","88.2","473"
"103","Leeds Arts University","145","3.15","1.74","0.48","57.5","63.2","16.5","1074","415","94.9","473"
"105","York St John University","119","3.16","2.43","0.47","66.3","68.1","16.7","1626","551","87.3","471"
"106","University of Greenwich","117","3.09","2.86","0.51","69.0","71.3","17.1","1335","582","86.9","462"
"107","University of Bradford","130","2.98","2.85","0.53","76.7","78.7","20.5","822","370","89.8","460"
"107","Southampton, Solent University","113","3.12","2.16","0.25","63.9","70.6","15.7","1740","537","88.0","460"
"109","University of Wolverhampton","110","3.10","2.56","0.35","71.5","71.9","16.5","3130","448","84.5","455"
"110","London South Bank University","110","3.11","2.78","0.23","73.7","72.3","15.6","2231","329","84.5","447"
"111","University of Wales Trinity Saint David","143","3.27","2.50","0.10","57.4","62.9","19.2","1613","557","88.3","445"
"112","University for the Creative Arts","117","2.97","3.06","0.11","55.8","62.3","14.0","2793","225","81.9","439"
"113","Middlesex University","109","3.19","2.78","0.45","63.1","67.6","16.4","2765","444","81.7","438"
"114","Queen Margaret University, Edinburgh","162","3.04","2.59","0.37","65.6","68.3","20.8","997","461","91.5","424"
"115","University of Roehampton","103","3.21","3.11","0.44","58.7","66.5","23.4","1848","672","89.1","417"
"116","University of Buckingham","117","2.97","","","75.2","76.3","","3743","1471","83.2","416"
"117","University of Cumbria","114","2.99","2.30","0.25","74.3","79.1","15.4","1285","281","85.8","414"
"118","Bishop Grosseteste University","105","3.31","1.92","0.39","75.7","79.3","18.5","1612","826","87.6","412"
"119","University of Northampton","110","3.14","2.22","0.24","68.7","76.5","17.2","1574","424","84.4","409"
"120","Anglia Ruskin University","107","3.06","2.81","0.24","67.6","72.3","17.1","1519","488","84.9","403"
"120","De Montfort University","106","3.07","2.69","0.39","68.3","70.8","19.8","1514","875","85.0","403"
"122","Leeds Trinity University","108","3.13","2.11","0.37","70.0","69.0","16.3","1859","647","81.5","389"
"123","University of Westminster, London","111","3.06","3.00","0.47","59.2","63.5","19.8","1802","622","86.5","387"
"124","Birmingham Newman University","105","3.26","2.03","0.43","72.4","76.6","17.8","1625","365","85.3","383"
"125","Royal Agricultural University","122","2.70","2.33","0.53","68.5","84.7","24.3","3009","538","88.1","372"
"126","University of East London","117","3.26","2.58","0.35","61.5","64.7","22.5","1182","800","81.4","345"
"127","University of the West of Scotland","142","3.11","2.48","0.45","72.7","75.9","","1444","357","77.7","336"
"128","London Metropolitan University","99","3.18","2.63","0.20","60.3","63.7","19.8","1948","740","83.0","323"
"129","Wrexham University","110","3.30","2.19","0.32","70.9","71.9","22.0","1363","385","80.7","322"
"130","University of Bedfordshire","107","3.14","2.71","0.23","66.2","74.3","24.3","1405","424","79.6","297"
