Statistic,University League Table 2020
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score
19,Nottingham,162,4.02,3.09,0.79,86.0,14.5,1654,841,84.1,93.7,814
20,Southampton,161,4.03,3.15,0.90,82.1,13.5,1746,611,84.9,89.3,804
21,East Anglia (UEA),147,4.01,3.11,0.75,77.0,13.6,1750,1044,87.2,90.7,802
22,Newcastle,160,4.03,3.09,0.80,85.8,14.2,1657,480,81.3,95.0,800
23,"Royal Holloway, University of London",141,4.02,3.09,0.77,73.5,14.7,1769,839,82.6,92.0,798
23,Surrey,156,4.04,2.98,0.73,80.6,16.1,1774,708,85.0,92.7,798
25,King's College London,171,3.84,3.23,0.80,84.7,12.4,1891,590,86.7,91.8,795
26,Cardiff,158,3.99,3.27,0.62,81.9,14.1,1584,694,83.3,91.8,786
27,Harper Adams,134,4.09,2.66,0.23,72.5,13.7,1860,1908,74.4,91.3,785
28,Liverpool,145,4.08,3.06,0.70,85.3,14.3,1748,427,80.6,92.8,776
29,Aberdeen,183,4.08,2.97,0.73,81.0,16.1,1641,688,87.1,90.3,774
30,York,157,4.09,3.17,0.75,81.6,14.6,1328,406,80.5,92.8,773
31,Dundee,168,4.16,3.03,0.68,81.4,13.9,1826,513,78.9,88.5,772
32,Sussex,148,3.91,3.01,0.73,80.4,15.8,1626,872,75.6,90.7,768
33,Sheffield,157,4.04,3.17,0.74,84.3,15.2,1719,521,81.5,92.8,767
34,Aston,131,4.02,3.05,0.57,79.2,17.4,1412,466,84.4,92.1,763
35,Swansea,130,4.08,3.09,0.71,85.3,15.4,1558,695,78.0,90.8,756
35,Heriot-Watt,162,3.94,3.06,0.82,79.2,17.8,1658,1418,79.7,86.8,756
37,"Queen's, Belfast",150,3.97,2.99,0.95,82.4,15.9,1485,793,84.0,91.8,755
38,Nottingham Trent,134,4.14,2.59,0.23,81.7,14.5,1364,882,74.4,87.6,753
39,Strathclyde,198,3.95,3.04,0.84,79.7,19.5,1355,454,83.4,88.4,747
40,Reading,132,3.85,3.03,0.83,75.8,15.8,1761,718,81.7,92.9,746
41,"Queen Mary, University of London",144,3.88,3.18,0.74,78.6,13.1,1466,794,83.2,89.8,742
42,Lincoln,128,4.17,2.54,0.39,81.5,14.7,1263,704,75.1,88.2,735
43,Stirling,162,3.97,2.96,0.74,78.2,16.4,1029,757,76.3,86.7,732
44,Essex,111,4.08,3.05,0.82,73.8,15.9,1836,1442,74.5,85.4,726
44,SOAS University of London,154,3.95,2.82,0.76,69.8,11.3,2068,359,81.7,81.4,726
44,Leicester,133,3.97,2.93,0.82,74.9,14.0,1786,828,78.4,92.3,726
47,"St George's, University of London",159,3.83,2.99,0.52,94.0,11.1,2097,323,80.3,93.3,725
48,University for the Creative Arts,140,4.17,2.72,0.10,72.9,12.9,2411,161,75.1,80.1,723
49,Kent,134,3.99,2.95,0.85,78.0,18.0,1144,645,79.1,89.0,715
50,Northumbria,143,4.03,2.71,0.29,75.1,16.3,1596,652,77.3,84.0,703
51,Oxford Brookes,130,4.03,2.66,0.39,77.2,15.1,1431,771,75.7,89.6,702
52,Keele,127,4.15,2.88,0.59,81.7,14.0,1407,588,74.2,88.7,699
53,Coventry,126,4.13,2.67,0.13,80.5,14.6,1643,561,76.1,83.9,698
53,Portsmouth,115,4.11,2.75,0.27,85.2,15.4,1463,660,75.0,85.3,698
55,"West of England, Bristol",125,4.18,2.70,0.29,76.1,15.3,1517,691,75.4,84.3,693
56,Manchester Metropolitan,133,4.02,2.74,0.24,71.1,15.5,1902,711,73.2,83.5,688
57,"City, University of London",142,4.05,2.95,0.53,72.9,17.8,1787,595,73.1,88.6,680
58,Ulster,128,4.14,2.91,0.84,70.9,17.4,1480,632,76.0,83.4,676
58,Edge Hill,133,4.11,2.22,0.27,76.9,14.1,1567,739,74.0,85.1,676
58,Staffordshire,119,4.18,2.20,0.33,80.7,15.4,1882,431,72.3,78.5,676
61,"University of the Arts, London",133,3.91,3.12,0.17,72.1,14.8,1865,243,71.3,86.2,675
62,Liverpool Hope,118,4.21,2.21,0.53,83.7,14.5,866,1207,68.0,79.8,674
63,Bradford,132,3.91,2.95,0.23,82.8,17.2,1398,784,80.2,82.9,671
64,Huddersfield,130,4.07,2.65,0.32,80.0,17.5,1657,620,74.6,84.2,668
65,Arts University Bournemouth,154,4.07,2.30,0.13,80.3,15.1,1335,328,66.1,90.1,667
66,Liverpool John Moores,141,4.05,2.79,0.26,74.7,16.9,1274,420,73.8,84.7,661
67,De Montfort,110,4.13,2.67,0.30,83.2,19.9,1224,775,75.1,84.9,655
68,Queen Margaret,149,3.98,2.65,0.22,72.9,18.6,1344,396,79.0,82.0,652
69,Brunel University London,126,3.88,2.67,0.85,70.7,18.0,1687,579,75.7,86.4,651
70,Bournemouth,122,3.95,2.72,0.29,68.2,17.0,1519,742,76.4,85.3,649
71,Aberystwyth,120,4.24,2.84,0.76,77.7,16.9,1480,414,69.0,81.6,644
72,"Goldsmiths, University of London",130,3.88,2.90,0.85,58.1,15.1,1863,690,81.9,78.5,640
73,Sheffield Hallam,119,4.07,2.76,0.16,73.5,17.2,1773,450,74.7,85.7,637
74,Hertfordshire,116,4.04,2.61,0.21,80.4,16.0,1466,1086,64.9,83.7,634
75,Central Lancashire,132,4.00,2.51,0.24,76.9,14.2,1983,489,71.8,79.6,633
76,Norwich University of the Arts,135,4.06,2.69,0.18,60.5,15.0,2046,364,71.8,88.6,630
77,Glasgow Caledonian,163,3.99,2.67,0.24,72.1,20.2,1300,291,79.9,83.7,628
77,Plymouth,135,4.10,2.74,0.50,73.5,16.2,1464,466,70.9,83.6,628
77,Falmouth,130,4.01,2.04,0.33,76.9,18.3,1025,421,78.0,86.8,628
80,Salford,130,4.08,2.54,0.33,73.1,15.2,1156,846,73.7,78.4,626
81,Roehampton,111,3.98,2.83,0.67,71.5,14.2,1832,635,68.7,74.4,622
81,Hull,126,3.96,2.70,0.56,76.0,16.2,1578,710,70.4,83.0,622
83,Bangor,125,4.16,2.99,0.63,67.4,17.0,1141,602,71.4,84.2,619
83,Greenwich,136,4.00,2.33,0.25,70.2,17.4,1460,830,77.0,82.0,619
85,Robert Gordon,153,4.04,2.35,0.21,81.1,20.4,1104,338,69.9,86.9,616
86,Edinburgh Napier,143,3.85,2.52,0.19,73.4,17.9,2154,342,75.7,82.2,615
87,London South Bank,115,3.95,2.52,0.41,87.7,15.6,1879,338,69.5,77.4,613
88,Chichester,122,4.07,2.50,0.25,64.8,14.4,1015,691,73.1,88.0,612
89,Middlesex,122,3.92,2.58,0.35,73.5,16.7,2608,388,67.2,78.9,606
90,West London,116,4.02,1.92,0.13,73.8,14.8,1538,1095,74.3,78.1,605
91,Birmingham City,123,4.07,2.64,0.14,76.4,17.9,1403,593,71.6,82.6,604
92,Westminster,126,3.92,2.74,0.29,70.0,19.3,1452,512,70.5,81.7,602
93,Kingston,123,4.02,2.70,0.16,64.1,16.6,2031,709,72.5,84.1,601
94,Bath Spa,116,3.96,2.52,0.30,66.5,18.7,1465,421,78.8,86.2,596
94,Leeds Arts University,156,4.21,,,57.1,11.9,916,233,79.9,88.7,596
96,Cardiff Metropolitan,122,3.98,3.00,0.09,65.5,18.8,1766,754,67.4,79.6,593
97,"St Mary's, Twickenham",118,4.13,1.98,0.23,72.3,16.0,1067,751,75.3,81.0,584
97,Derby,122,4.11,2.07,0.19,75.8,14.5,1432,466,65.7,79.1,584
99,Gloucestershire,120,4.09,2.38,0.18,72.6,18.7,1426,527,71.3,80.9,583
100,Teesside,117,4.08,2.58,0.14,80.9,18.0,1839,534,68.0,79.8,581
101,Chester,113,4.10,2.08,0.29,70.1,15.5,1755,1007,69.7,80.5,577
102,University of Wales Trinity Saint David,111,4.18,2.39,0.12,66.0,14.9,1194,752,72.9,77.2,576
103,Abertay,137,4.02,2.16,0.36,73.4,19.6,1161,705,65.8,77.5,569
104,West of Scotland,136,4.08,2.36,0.22,80.2,22.4,1643,416,71.3,80.8,567
105,Solent,118,4.10,1.63,0.07,70.2,15.6,1459,781,71.3,77.9,565
106,Winchester,112,4.04,2.32,0.30,64.2,16.4,1196,423,76.4,86.3,564
107,Sunderland,116,4.05,2.12,0.39,66.4,15.8,1781,632,64.7,80.5,563
107,Buckingham,121,4.24,,,81.5,15.8,1035,530,69.7,84.0,563
109,Worcester,118,4.11,2.08,0.30,74.7,17.2,931,569,67.1,81.8,556
110,Northampton,105,4.01,2.09,0.25,67.8,16.8,1884,989,68.0,80.6,553
111,York St John,114,4.08,2.04,0.29,73.4,18.0,1239,623,68.6,87.7,543
112,Leeds Trinity,108,4.11,2.01,0.17,67.9,19.9,1465,481,79.3,82.4,541
113,South Wales,125,4.06,2.51,0.16,63.2,15.6,1255,468,67.3,79.8,537
114,Brighton,117,3.94,2.84,0.21,66.8,18.5,1039,510,72.2,81.4,534
115,Buckinghamshire New,115,4.10,2.19,0.09,67.6,15.8,2573,190,60.4,79.3,528
116,East London,107,4.11,2.71,0.23,65.0,18.9,1416,761,68.1,75.5,526
117,Canterbury Christ Church,108,3.99,2.38,0.23,64.4,14.8,1485,413,68.8,80.6,522
118,Anglia Ruskin,110,4.08,2.37,0.27,68.1,18.5,1000,408,74.0,78.1,510
119,Bishop Grosseteste,110,3.94,1.96,0.17,72.7,20.2,1165,837,69.0,90.1,507
120,Cumbria,123,3.92,2.13,0.08,72.4,16.8,1248,458,67.4,82.7,502
121,Leeds Beckett,112,4.06,2.16,0.24,63.1,19.3,1343,540,70.3,76.3,498
122,Bedfordshire,98,4.07,2.52,0.27,70.2,17.0,1665,629,63.9,66.3,492
123,Royal Agricultural University,118,3.90,1.40,0.26,63.3,20.9,1831,900,63.5,91.2,490
124,Wolverhampton,110,4.03,2.31,0.31,68.7,18.0,1654,332,66.2,72.9,483
125,Newman,117,4.02,2.13,0.20,64.2,14.5,1334,343,60.9,76.6,475
126,London Metropolitan,99,4.00,2.44,0.15,69.1,17.8,1734,1048,60.8,65.7,473
127,Plymouth Marjon,120,4.23,,,63.6,22.2,1049,1185,77.1,78.3,470
128,Bolton,115,4.21,2.04,0.20,56.5,14.2,1023,422,60.8,72.8,447
129,Suffolk,116,3.90,,,64.2,18.1,1905,490,66.8,72.2,421
130,Wrexham Glyndŵr,94,4.00,2.15,0.16,63.1,21.2,1193,495,70.4,74.7,417
131,Ravensbourne,110,3.82,,,68.7,31.6,1119,314,63.9,89.8,339
