Statistic,University League Table 2020
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score
1,Cambridge,224,4.09,3.33,0.95,86.7,11.2,2701,1006,93.4,98.4,1000
2,Oxford,215,4.10,3.34,0.87,83.4,10.4,2758,582,94.0,98.5,989
3,St Andrews,207,4.26,3.13,0.82,79.7,11.7,2211,719,89.8,96.3,944
4,London School of Economics,189,3.67,3.35,0.85,86.1,11.1,2107,738,90.5,95.4,934
5,Imperial College London,205,4.02,3.36,0.92,90.4,11.4,2756,846,89.2,96.6,933
6,Durham,194,4.01,3.14,0.79,84.8,15.0,1839,1067,92.1,96.4,915
7,Lancaster,156,4.14,3.15,0.77,89.2,12.6,2187,1049,78.7,93.7,914
8,Loughborough,157,4.18,2.95,0.88,86.8,13.4,1794,1320,83.8,92.1,905
9,Bath,183,4.05,3.17,0.74,87.4,15.6,1832,552,88.3,96.6,882
10,University College London,187,3.87,3.22,0.91,83.8,10.5,2288,296,89.7,94.4,880
11,Exeter,171,4.08,3.08,0.82,85.5,15.5,1627,1075,87.9,95.7,868
11,Warwick,171,4.05,3.22,0.83,83.2,13.0,1694,732,84.3,95.1,868
13,Birmingham,163,4.01,3.07,0.81,85.3,13.9,2253,605,86.6,94.9,841
14,Leeds,164,4.09,3.13,0.75,81.2,13.4,2511,469,86.9,92.4,838
15,Manchester,168,3.98,3.16,0.78,80.4,13.3,2365,691,83.1,92.9,827
16,Edinburgh,189,3.84,3.18,0.83,77.3,11.9,1364,754,89.5,92.1,826
16,Bristol,177,3.95,3.18,0.91,80.5,13.5,1559,565,89.8,95.9,826
18,Glasgow,196,4.06,3.10,0.84,85.4,13.7,1711,623,84.8,89.9,823
