Statistic,University League Table 2021
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score
1,Cambridge,212,,3.33,0.95,86.7,11.2,2718,1043,92.9,98.8,1000
2,Oxford,205,,3.34,0.87,83.4,10.3,2842,599,94.2,98.1,992
3,St Andrews,211,4.34,3.13,0.82,79.7,11.2,2650,746,89.3,95.0,959
4,London School of Economics,168,3.82,3.35,0.85,86.1,11.9,2051,853,92.2,97.2,941
5,Imperial College London,190,4.02,3.36,0.92,90.4,11.1,2982,755,92.9,96.8,915
6,Loughborough,151,4.21,2.95,0.88,86.8,13.4,1853,1375,84.4,93.2,902
7,Durham,192,4.01,3.14,0.79,84.8,14.7,2174,1085,91.7,95.6,900
8,Lancaster,151,4.07,3.15,0.77,89.2,12.5,2319,1066,79.7,93.0,885
9,Bath,174,4.09,3.17,0.74,87.4,14.9,1913,703,89.0,96.2,871
10,University College London,175,3.95,3.22,0.91,83.8,10.4,2338,325,89.1,94.5,858
11,Warwick,163,4.09,3.22,0.83,83.2,13.8,1643,795,86.7,94.9,845
12,Exeter,163,4.06,3.08,0.82,85.5,15.2,1594,1191,86.7,94.7,834
13,Birmingham,159,4.00,3.07,0.81,85.3,14.1,2371,757,86.3,94.5,812
14,Bristol,170,4.02,3.18,0.91,80.5,13.3,1645,673,90.1,94.9,811
15,Edinburgh,187,3.87,3.18,0.83,77.3,11.9,1407,808,89.4,93.8,810
16,Leeds,160,4.06,3.13,0.75,81.2,13.7,2498,406,87.4,93.5,804
17,Manchester,167,3.98,3.16,0.78,80.4,13.1,2542,692,82.9,93.5,803
17,Southampton,155,4.03,3.15,0.90,82.1,13.3,1978,746,85.8,92.0,803
19,Glasgow,200,4.00,3.10,0.84,85.4,13.4,1862,673,83.0,88.0,789
20,King's College London,171,3.89,3.23,0.80,84.7,11.9,1984,673,85.6,91.4,773
20,Nottingham,151,4.00,3.09,0.79,86.0,14.5,1803,938,84.5,92.0,773
22,York,152,4.14,3.17,0.75,81.6,14.4,1296,603,82.4,94.4,767
23,Newcastle,152,4.02,3.09,0.80,85.8,14.2,1790,530,82.0,95.1,764
24,"Royal Holloway, University of London",135,4.08,3.09,0.77,73.5,14.7,1875,834,81.5,91.1,761
25,East Anglia (UEA),138,4.02,3.11,0.75,77.0,13.5,1789,1044,84.7,87.8,751
26,Aberdeen,183,4.10,2.97,0.73,81.0,16.2,1744,701,86.2,89.0,747
27,"Queen's, Belfast",151,3.97,2.99,0.95,82.4,14.6,1558,820,85.0,91.7,746
28,Sheffield,151,4.09,3.17,0.74,84.3,14.7,1772,520,82.7,93.2,744
29,Heriot-Watt,168,4.00,3.06,0.82,79.2,17.8,1795,1491,79.3,84.4,740
30,Cardiff,153,3.99,3.27,0.62,81.9,14.3,1698,709,81.8,91.8,739
31,Dundee,177,4.17,3.03,0.68,81.4,14.3,1881,597,76.8,87.7,736
32,Swansea,130,4.09,3.09,0.71,85.3,15.0,1558,687,79.1,89.1,732
33,Liverpool,142,4.03,3.06,0.70,85.3,14.4,2086,539,78.8,92.7,731
34,Surrey,148,4.00,2.98,0.73,80.6,15.8,1926,725,79.9,88.8,729
35,"Queen Mary, University of London",149,3.90,3.18,0.74,78.6,13.0,1471,704,86.2,90.6,720
35,Strathclyde,199,4.01,3.04,0.84,79.7,19.5,1448,489,84.9,87.8,720
37,SOAS University of London,157,3.93,2.82,0.76,69.8,11.6,2546,417,82.5,82.0,712
38,Leicester,133,3.99,2.93,0.82,74.9,13.7,2014,779,78.9,94.0,709
39,Reading,126,3.92,3.03,0.83,75.8,15.8,1890,844,81.9,91.3,706
40,Sussex,143,3.95,3.01,0.73,80.4,17.4,1604,864,75.3,89.9,699
41,Essex,107,4.08,3.05,0.82,73.8,16.7,1950,1469,75.4,84.4,684
41,Harper Adams,124,4.10,2.66,0.23,72.5,14.8,1891,1939,73.0,87.6,684
43,Aston,126,4.00,3.05,0.57,79.2,16.1,1473,517,81.9,89.8,683
44,University for the Creative Arts,133,4.13,2.72,0.10,72.9,13.7,2492,189,73.5,84.8,681
45,Stirling,162,3.98,2.96,0.74,78.2,16.2,1079,847,76.3,81.4,680
46,Nottingham Trent,126,4.12,2.59,0.23,81.7,14.8,1410,921,69.7,86.7,672
47,Kent,130,3.99,2.95,0.85,78.0,17.0,1211,716,78.0,88.8,669
48,Arts University Bournemouth,147,4.17,2.30,0.13,80.3,14.5,1424,347,68.3,91.4,667
48,Oxford Brookes,122,3.98,2.66,0.39,77.2,14.7,1524,868,78.8,89.4,667
50,Lincoln,120,4.04,2.54,0.39,81.5,15.3,1292,781,75.9,88.7,666
51,"University of the Arts, London",132,3.90,3.12,0.17,72.1,13.7,2505,269,72.2,84.2,665
52,Northumbria,143,4.05,2.71,0.29,75.1,15.5,1646,677,78.7,83.8,661
53,Huddersfield,128,4.06,2.65,0.32,80.0,15.5,1805,683,75.6,83.5,660
54,Manchester Metropolitan,132,4.07,2.74,0.24,71.1,15.0,2011,762,72.8,85.1,654
54,Coventry,123,4.08,2.67,0.13,80.5,13.9,1784,616,74.6,81.8,654
56,Keele,124,4.13,2.88,0.59,81.7,14.3,1508,631,76.0,86.9,652
57,"City, University of London",137,4.01,2.95,0.53,72.9,17.3,1920,625,75.6,87.4,644
58,Aberystwyth,124,4.31,2.84,0.76,77.7,16.8,1932,435,70.7,82.8,642
59,"St George's, University of London",154,3.83,2.99,0.52,94.0,13.3,2160,344,78.0,94.3,631
60,Ulster,129,4.13,2.91,0.84,70.9,18.1,1664,700,78.6,80.4,627
61,Portsmouth,115,4.06,2.75,0.27,85.2,16.1,1512,652,73.6,83.8,625
62,Liverpool Hope,116,4.11,2.21,0.53,83.7,15.0,884,1268,71.8,77.3,624
62,Edge Hill,130,4.10,2.22,0.27,76.9,14.0,1638,892,71.3,84.2,624
64,Hull,126,4.02,2.70,0.56,76.0,15.1,1713,790,73.7,82.8,612
64,"West of England, Bristol",121,4.18,2.70,0.29,76.1,15.4,1249,633,74.5,82.6,612
