Statistic,University League Table 2021
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score
66,Liverpool John Moores,144,4.07,2.79,0.26,74.7,16.8,1332,439,73.7,82.2,610
67,Sheffield Hallam,116,4.12,2.76,0.16,73.5,16.8,2051,449,75.7,85.5,602
68,"Goldsmiths, University of London",123,3.91,2.90,0.85,58.1,14.9,2090,762,79.6,78.0,600
69,Bradford,126,3.90,2.95,0.23,82.8,18.0,1424,772,79.9,82.5,594
70,Central Lancashire,126,4.07,2.51,0.24,76.9,13.3,2060,508,72.3,76.3,593
71,Plymouth,132,4.09,2.74,0.50,73.5,16.2,1736,521,73.7,83.5,591
72,Chichester,121,4.13,2.50,0.25,64.8,14.4,1116,795,75.6,90.4,589
72,Bangor,123,4.17,2.99,0.63,67.4,15.7,1256,725,72.0,83.7,589
72,Robert Gordon,152,4.13,2.35,0.21,81.1,18.7,1229,455,72.0,84.5,589
75,Staffordshire,117,4.11,2.20,0.33,80.7,17.5,1760,523,73.4,79.7,580
75,Queen Margaret,147,4.05,2.65,0.22,72.9,19.5,1258,416,79.6,79.3,580
77,Edinburgh Napier,147,3.95,2.52,0.19,73.4,18.2,2120,328,78.8,81.0,579
77,Falmouth,125,4.06,2.04,0.33,76.9,17.3,1152,452,76.4,86.9,579
77,Norwich University of the Arts,129,4.09,2.69,0.18,60.5,15.2,2079,566,70.8,84.1,579
77,West London,116,4.22,1.92,0.13,73.8,15.2,1603,927,75.4,77.9,579
81,Hertfordshire,108,4.02,2.61,0.21,80.4,14.8,1638,1122,65.7,82.1,578
81,De Montfort,110,4.08,2.67,0.30,83.2,19.6,1306,904,72.5,81.4,578
81,Roehampton,103,4.01,2.83,0.67,71.5,14.8,2229,810,66.7,75.2,578
84,Birmingham City,122,4.02,2.64,0.14,76.4,16.6,1448,576,74.4,84.0,576
84,Brunel University London,120,3.88,2.67,0.85,70.7,17.7,1442,540,75.6,87.5,576
86,Bournemouth,116,3.93,2.72,0.29,68.2,17.6,1640,736,78.8,84.2,574
87,Cardiff Metropolitan,128,4.08,3.00,0.09,65.5,18.1,1774,772,70.6,80.1,573
88,Glasgow Caledonian,153,4.01,2.67,0.24,72.1,21.4,1460,283,80.3,85.0,559
89,London South Bank,107,4.08,2.52,0.41,87.7,16.3,1927,263,70.7,76.4,556
90,Greenwich,124,4.04,2.33,0.25,70.2,17.8,1477,846,77.1,81.4,553
91,University of Wales Trinity Saint David,137,4.16,2.39,0.12,66.0,16.3,1140,587,73.5,77.0,551
92,Salford,127,4.02,2.54,0.33,73.1,16.5,1182,803,71.7,81.9,547
93,Bath Spa,109,3.89,2.52,0.30,66.5,17.2,1659,506,80.1,84.1,541
94,Chester,116,4.09,2.08,0.29,70.1,15.1,1917,971,71.5,79.8,540
95,Teesside,116,4.11,2.58,0.14,80.9,18.2,1946,523,71.6,77.9,534
96,Abertay,144,4.20,2.16,0.36,73.4,21.2,1093,686,75.8,74.3,531
97,Gloucestershire,115,4.05,2.38,0.18,72.6,17.7,1538,499,71.8,81.4,530
98,Middlesex,115,3.92,2.58,0.35,73.5,17.0,2544,368,68.7,78.2,527
99,Derby,118,4.07,2.07,0.19,75.8,14.6,1461,441,66.9,78.4,521
100,Kingston,116,4.05,2.70,0.16,64.1,16.8,2027,692,71.3,80.9,512
100,Solent,123,4.11,1.63,0.07,70.2,15.8,1467,775,70.7,78.6,512
102,South Wales,120,4.10,2.51,0.16,63.2,15.1,1511,357,70.4,81.7,505
103,York St John,103,4.11,2.04,0.29,73.4,18.0,1334,595,73.6,86.4,491
104,Worcester,117,4.15,2.08,0.30,74.7,17.8,1083,626,66.0,82.2,489
105,Winchester,110,4.03,2.32,0.30,64.2,16.5,1239,465,74.3,84.2,488
106,Bishop Grosseteste,108,4.01,1.96,0.17,72.7,18.4,1430,972,70.7,88.9,486
107,"St Mary's, Twickenham",109,4.07,1.98,0.23,72.3,18.0,1076,756,75.1,82.8,479
108,Sunderland,115,4.01,2.12,0.39,66.4,15.5,2013,632,61.3,78.4,478
109,Northampton,103,3.97,2.09,0.25,67.8,16.2,1958,1056,66.9,78.7,477
109,West of Scotland,128,4.06,2.36,0.22,80.2,22.6,1757,467,70.9,78.6,477
111,Westminster,120,3.95,2.74,0.29,70.0,20.9,1283,567,66.2,82.3,476
112,Brighton,116,4.01,2.84,0.21,66.8,17.5,1373,542,67.8,80.7,472
113,Anglia Ruskin,109,4.09,2.37,0.27,68.1,17.7,1064,420,75.6,78.2,465
114,Royal Agricultural University,121,4.10,1.40,0.26,63.3,19.8,2017,981,67.6,94.4,445
115,Buckingham,122,4.12,,,81.5,15.0,1024,542,63.5,83.1,443
116,East London,107,4.00,2.71,0.23,65.0,19.7,1105,756,70.3,73.1,440
117,Cumbria,118,3.96,2.13,0.08,72.4,15.7,1407,380,63.9,82.8,430
118,Leeds Beckett,106,4.06,2.16,0.24,63.1,19.2,1487,675,71.3,76.0,429
118,London Metropolitan,93,4.01,2.44,0.15,69.1,17.8,2581,1210,60.4,64.8,429
120,Newman,109,4.12,2.13,0.20,64.2,17.1,1360,336,66.8,78.1,417
121,Wolverhampton,108,4.06,2.31,0.31,68.7,17.2,1729,329,65.6,70.4,415
122,Leeds Trinity,101,3.93,2.01,0.17,67.9,21.0,1483,505,78.7,80.3,414
123,Bedfordshire,101,4.02,2.52,0.27,70.2,16.7,1750,673,65.6,58.5,409
124,Buckinghamshire New,104,4.07,2.19,0.09,67.6,16.5,2472,373,58.2,75.2,406
125,Canterbury Christ Church,105,4.02,2.38,0.23,64.4,15.6,1464,501,66.7,67.3,395
126,Wrexham Glyndŵr,100,4.02,2.15,0.16,63.1,19.4,1334,559,71.0,74.2,380
127,Bolton,110,4.22,2.04,0.20,56.5,14.4,1395,432,60.4,72.2,373
128,Plymouth Marjon,111,4.23,,,63.6,20.5,996,720,73.8,79.0,363
129,Suffolk,103,4.00,,,64.2,16.7,1961,478,71.0,72.4,360
130,Ravensbourne,110,3.80,,,68.7,24.2,1163,322,82.9,72.4,315
