Statistic,University League Table 2015
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Green Score,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Green Score,Overall Score
66,Hull,327,4.09,2.37,54.4,17.8,1056,448,66.7,85.3,30.5,618
66,Sheffield Hallam,318,3.95,2.05,57.3,18.4,1181,337,65.5,86.0,49.0,618
66,University of the Arts London,330,3.90,2.49,53.3,18.7,1204,264,64.3,87.1,24.5,618
69,Bath Spa,329,4.05,1.89,56.8,20.0,731,245,71.0,87.3,43.5,614
70,Huddersfield,326,4.12,2.10,67.4,18.3,1017,325,60.0,81.7,41.0,613
71,De Montfort,310,4.02,2.32,52.4,18.1,980,375,66.5,87.3,44.5,610
72,Glasgow Caledonian,366,3.93,2.01,65.0,20.9,1197,376,68.5,80.9,41.0,609
73,Brighton,310,4.05,2.37,58.4,18.3,709,314,67.3,84.2,57.0,608
73,Manchester Metropolitan,340,3.98,2.16,57.6,18.2,953,329,65.8,83.0,59.5,608
73,Northampton,280,4.14,1.69,57.2,19.8,1177,1016,61.1,84.1,33.5,608
76,Chichester,303,4.10,1.96,58.8,18.7,747,337,63.7,89.8,45.0,606
77,Bradford,317,4.00,2.34,69.5,18.6,989,470,65.8,83.6,54.0,602
78,Chester,301,4.11,1.74,68.6,16.9,1048,406,61.8,82.2,39.0,594
79,Plymouth,313,4.03,2.18,57.0,16.2,936,341,63.0,84.5,59.0,589
80,Queen Margaret,339,3.97,1.37,69.6,20.5,1000,305,73.1,79.7,43.0,587
81,Liverpool John Moores,327,4.04,2.15,54.2,19.7,1069,259,70.6,84.4,42.5,586
82,Birmingham City,314,3.99,2.31,61.8,21.2,1008,574,63.3,82.8,45.5,585
83,Royal Agricultural University,305,3.91,1.50,57.4,20.7,1628,1074,50.5,90.3,27.0,584
84,Harper Adams,342,4.09,1.95,67.3,19.8,954,206,52.8,88.3,44.0,582
84,Salford,328,3.91,2.36,59.1,17.0,995,445,64.3,77.6,47.5,582
84,Ulster,310,4.08,2.48,49.3,19.2,1014,438,65.3,80.6,46.0,582
87,Aberystwyth,324,3.90,2.48,53.5,20.0,723,430,63.2,86.1,21.5,580
87,Derby,299,4.13,1.96,55.1,16.8,1033,301,60.2,83.1,42.0,580
89,Edge Hill,306,4.15,1.50,59.6,16.8,1218,333,59.3,85.2,39.0,569
90,Central Lancashire,332,4.01,1.96,53.6,16.8,1419,461,57.5,79.9,54.0,566
91,Abertay,325,3.92,1.83,65.8,21.3,806,607,64.3,73.2,14.5,563
91,Gloucestershire,288,3.97,1.72,60.1,23.6,1090,356,69.9,87.6,58.0,563
93,Roehampton,283,4.01,2.20,52.3,20.2,1446,427,62.1,81.8,28.0,558
94,Middlesex,284,4.01,2.18,52.3,20.5,2150,497,59.3,76.5,40.0,556
95,York St John,302,4.14,1.40,61.1,21.1,774,352,63.5,91.2,34.0,544
96,Teesside,316,4.10,1.99,53.6,18.8,1071,373,58.6,81.1,34.5,540
96,Westminster,314,3.89,2.23,52.8,20.3,1090,253,64.1,79.1,29.5,540
98,Cardiff Metropolitan,301,4.03,1.88,50.4,20.3,851,507,52.9,85.3,46.0,539
99,Greenwich,304,4.06,1.90,52.5,21.5,1016,478,63.3,82.1,56.0,538
100,South Wales,319,3.96,2.09,55.5,21.6,759,381,59.9,82.2,,536
101,Edinburgh Napier,339,3.97,1.83,62.3,21.6,800,217,67.3,75.2,43.0,534
102,Leeds Metropolitan,277,3.93,2.05,59.9,19.9,748,400,61.2,79.5,35.0,531
103,Canterbury Christ Church,270,4.01,1.79,57.6,18.9,790,332,66.7,82.2,47.5,526
104,Worcester,297,4.00,1.54,62.9,21.1,667,295,58.5,85.3,57.5,518
105,Staffordshire,268,4.02,1.62,53.6,17.7,972,411,58.5,80.8,48.0,513
106,Newman,300,4.15,1.52,59.6,18.1,1053,301,52.7,77.2,34.5,512
107,Kingston,295,3.89,2.04,56.4,19.4,921,404,59.0,79.6,37.0,510
108,Sunderland,298,4.02,1.86,49.2,17.9,823,465,54.3,80.4,36.5,509
109,Plymouth Marjon,271,4.14,1.08,63.5,19.2,602,767,51.1,82.9,25.5,502
110,West London,250,3.96,1.67,62.1,18.3,1115,429,52.0,77.6,41.0,496
110,Wrexham Glyndŵr,271,4.11,1.69,60.6,20.1,1426,348,53.5,77.9,33.0,496
112,Cumbria,285,4.04,1.23,58.8,20.8,538,373,66.9,84.9,32.5,487
113,Leeds Trinity,277,4.06,1.86,57.9,23.6,772,350,56.0,84.9,17.5,486
114,Southampton Solent,293,3.86,1.49,48.1,18.8,768,499,61.1,76.4,37.0,475
115,Buckinghamshire New,247,3.87,1.67,42.9,22.2,777,1291,53.3,83.0,21.0,460
116,Anglia Ruskin,248,3.95,2.07,60.7,23.0,868,337,51.6,82.5,40.5,445
117,Bedfordshire,225,3.92,2.09,53.1,20.9,974,665,47.5,82.3,47.0,439
118,Bishop Grosseteste,272,4.14,1.19,66.4,30.2,331,109,57.0,92.0,20.5,429
119,West of Scotland,293,3.95,1.84,56.2,22.0,981,269,58.5,67.7,27.5,426
120,London South Bank,231,3.91,2.24,55.0,21.9,971,249,59.7,72.5,,421
121,Bolton,266,3.98,1.75,52.9,19.9,677,272,50.6,71.9,17.0,411
122,East London,269,3.96,2.24,42.7,26.3,721,566,54.2,67.5,42.0,372
123,London Metropolitan,232,3.83,1.84,44.6,21.5,412,206,51.3,70.5,29.5,329
