"Statistic","University League Table "
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Continuation,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2024 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Continuation","Overall Score"
"60","Goldsmiths, University of London","127","2.94","3.11","0.64","70.5","70.6","13.4","2391","962","88.9","647"
"61","Keele University","131","3.05","3.07","0.52","79.7","78.2","15.1","1489","617","94.3","641"
"62","Cardiff Metropolitan University","132","3.05","2.83","0.28","75.8","81.5","18.9","1744","768","90.1","637"
"63","Sheffield Hallam University","121","2.98","2.93","0.28","78.0","75.8","17.1","2539","492","91.7","636"
"64","Falmouth University","132","3.11","3.17","0.20","62.4","68.5","14.3","1803","544","","633"
"65","University of Plymouth","137","3.05","3.01","0.45","81.3","78.2","16.7","1819","515","92.9","632"
"65","University of Huddersfield","129","3.07","2.80","0.47","73.7","74.9","14.6","1913","726","87.7","632"
"67","Coventry University","126","3.17","2.90","0.23","74.5","74.5","13.0","2504","663","83.2","628"
"68","Bangor University","129","2.99","3.23","0.46","73.8","73.7","17.1","1326","1006","93.8","627"
"69","St George's, University of London","149","2.90","3.23","0.38","92.4","85.8","14.2","2163","431","94.6","624"
"70","University of Brighton","122","3.01","3.05","0.40","76.2","76.1","17.0","2014","482","92.1","620"
"71","SOAS University of London","140","2.87","3.24","0.57","77.2","71.3","15.0","2394","544","92.2","616"
"72","St Mary's University, Twickenham","118","3.17","2.72","0.47","78.6","77.9","16.4","1052","810","89.2","613"
"73","University of Hull","127","3.15","3.10","0.37","76.8","76.6","16.5","1748","765","88.9","611"
"73","University of Salford","130","3.07","3.00","0.27","73.6","74.3","18.1","1847","767","91.8","611"
"75","Bristol, University of the West of England","128","3.04","2.96","0.25","76.8","74.9","16.8","1248","662","92.0","610"
"75","Glasgow Caledonian University","175","3.07","2.95","0.31","81.3","80.0","22.6","1787","203","93.4","610"
"75","Leeds Beckett University","124","3.09","2.68","0.36","70.8","73.8","17.5","1499","760","92.0","610"
"75","University of Sunderland","129","3.14","2.75","0.13","65.6","72.9","13.9","2108","621","86.6","610"
"79","University of Chichester","132","3.09","2.41","0.36","74.5","71.3","15.2","929","686","95.0","609"
"79","Brunel University London","125","3.01","2.88","0.75","73.8","72.6","18.2","2454","528","91.9","609"
"81","Liverpool John Moores University","132","3.08","2.82","0.45","75.7","74.1","18.1","1269","406","91.1","604"
"82","Norwich University of the Arts","132","3.08","2.96","0.13","64.1","64.5","15.3","2037","740","92.0","603"
"83","Liverpool Hope University","123","3.07","2.52","0.62","67.8","71.3","14.9","778","1183","91.2","601"
"84","University of Hertfordshire","119","3.13","3.02","0.32","72.0","74.2","17.6","1481","861","91.4","591"
"85","University for the Creative Arts","129","3.10","3.06","0.11","57.3","63.6","12.6","2728","266","89.4","587"
"86","Edinburgh Napier University","156","3.10","2.86","0.45","81.8","77.2","21.4","2072","335","91.4","586"
"87","University of Central Lancashire","129","3.12","2.81","0.30","73.2","73.2","15.6","1784","427","88.6","581"
"88","University of Worcester","127","3.02","2.32","0.34","79.6","77.5","17.2","1678","597","90.4","580"
"88","University of Gloucestershire","119","3.06","2.43","0.31","71.2","74.7","15.4","1535","446","91.6","580"
"88","Kingston University","128","3.08","2.89","0.39","71.6","71.2","18.1","1607","617","92.8","580"
"91","Robert Gordon University","152","3.20","2.54","0.17","81.3","80.9","19.2","1338","599","92.4","578"
"92","Birmingham City University","130","3.08","2.70","0.19","72.5","73.6","17.1","1468","510","91.4","577"
"93","University of Roehampton","106","3.04","3.11","0.44","66.0","70.3","17.9","2208","860","89.8","576"
"93","Arts University Bournemouth","145","3.02","2.63","0.20","56.4","69.0","14.4","1122","444","94.6","576"
"95","University of Derby","125","3.16","2.52","0.25","73.0","74.6","14.9","1371","341","87.6","574"
"95","University of South Wales","129","3.11","2.66","0.21","70.9","74.2","16.6","2155","150","89.0","574"
"97","Queen Margaret University, Edinburgh","165","3.00","2.59","0.37","76.0","77.8","20.6","1005","446","94.5","572"
"97","Staffordshire University","121","3.01","2.78","0.17","71.2","74.3","17.4","1447","584","90.1","572"
"99","Abertay University","160","3.22","2.66","0.64","75.4","74.9","22.8","1023","596","89.0","569"
"100","Teesside University, Middlesbrough","122","3.14","2.76","0.32","76.7","76.3","17.2","2052","502","85.7","566"
