Statistic,University League Table 2019
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score
65,Aberystwyth,120,4.23,2.84,0.76,74.0,16.6,1506,472,67.3,83.2,600
66,Oxford Brookes,129,4.01,2.66,0.39,72.1,16.1,1176,591,74.6,87.8,599
66,"City, University of London",142,4.01,2.95,0.53,68.5,17.9,1711,594,71.8,87.2,599
66,Bournemouth,123,3.94,2.72,0.29,69.6,17.0,1378,722,78.9,84.1,599
69,Sheffield Hallam,124,4.05,2.76,0.16,69.2,16.9,1638,461,75.3,86.3,584
70,De Montfort,113,4.13,2.67,0.30,80.4,19.4,1262,729,71.3,83.7,583
71,Roehampton,109,3.95,2.83,0.67,69.4,14.7,1594,560,68.9,81.2,580
71,Edge Hill,131,4.07,2.22,0.27,70.0,15.2,1460,677,71.9,85.4,580
73,Ulster,126,4.06,2.91,0.84,67.3,17.1,1320,577,73.5,82.9,578
73,Staffordshire,114,4.16,2.20,0.33,79.3,14.5,1867,322,68.4,76.5,578
75,Queen Margaret,144,3.87,2.65,0.22,76.7,18.5,1254,370,78.7,80.1,576
76,Buckingham,128,4.33,,,73.4,11.3,1341,715,68.7,84.0,572
77,Cardiff Metropolitan,126,4.07,3.00,0.09,62.9,16.5,1779,772,65.2,79.4,569
77,Plymouth,129,4.05,2.74,0.50,71.3,15.9,1276,466,73.0,85.1,569
79,Salford,128,4.07,2.54,0.33,70.5,15.0,1221,724,69.6,81.5,562
79,West London,120,4.17,1.92,0.13,70.1,15.6,1491,1252,72.4,76.5,562
81,Leeds Arts University,165,4.26,,,56.5,12.5,919,224,73.8,90.5,560
82,Westminster,124,3.97,2.74,0.29,65.9,17.0,1570,415,71.9,82.9,554
83,Robert Gordon,157,4.06,2.35,0.21,77.5,20.6,1124,323,71.0,85.9,546
84,"University of the Arts, London",135,3.94,3.12,0.17,56.5,14.4,1537,242,65.8,84.2,543
85,Glasgow Caledonian,164,3.91,2.67,0.24,69.6,19.2,1337,308,72.8,84.8,542
86,Chichester,121,4.14,2.50,0.25,60.9,15.1,889,566,69.4,88.2,536
86,Hertfordshire,119,4.02,2.61,0.21,78.4,17.9,1317,1038,65.9,81.7,536
88,Gloucestershire,123,4.10,2.38,0.18,68.7,19.0,1338,519,71.8,83.4,535
89,Derby,119,4.09,2.07,0.19,73.8,15.1,1403,467,66.5,82.2,530
90,Falmouth,120,4.06,2.04,0.33,71.6,18.4,906,360,72.6,88.3,527
91,Winchester,113,4.02,2.32,0.30,63.3,16.3,1113,384,77.6,87.8,525
92,Teesside,119,4.04,2.58,0.14,79.1,17.2,1647,520,66.0,81.7,524
93,London South Bank,108,4.02,2.52,0.41,81.7,16.5,1751,408,68.9,77.1,523
94,Hull,123,4.01,2.70,0.56,75.9,18.3,1477,622,67.3,82.2,522
95,Kingston,125,3.99,2.70,0.16,63.7,16.0,1662,622,70.4,81.2,521
96,Greenwich,135,3.98,2.33,0.25,66.1,17.9,1410,735,74.1,80.9,520
97,Birmingham City,128,4.02,2.64,0.14,70.0,18.1,1322,604,68.6,83.6,517
