entry_tariff,satisfaction,staff_ratio,career_prospects,continuation,research_quality,rank_lag1,satisfaction_lag1,staff_ratio_lag1,career_lag1,rank_change,satisfaction_change,staff_ratio_change,career_change,rank_3yr_avg,satisfaction_3yr_avg,rank,volatility_label,university,year
254,3.95,17.3,64.7,80.7,2.37,115.0,3.95,19.0,58.3,-5.0,0.0,-1.6999999999999993,6.400000000000006,113.66666666666667,3.95,110,stable,Anglia Ruskin,2017
257,3.95,17.8,56.3,78.9,2.37,110.0,3.95,17.3,64.7,8.0,0.0,0.5,-8.400000000000006,114.33333333333333,3.95,118,falling,Anglia Ruskin,2018
105,3.95,18.2,67.6,79.1,2.37,118.0,3.95,17.8,56.3,-2.0,0.0,0.3999999999999986,11.299999999999997,114.66666666666667,3.95,116,stable,Anglia Ruskin,2019
110,3.95,18.5,68.1,78.1,2.37,116.0,3.95,18.2,67.6,2.0,0.0,0.3000000000000007,0.5,117.33333333333333,3.95,118,stable,Anglia Ruskin,2020
109,3.95,17.7,68.1,78.2,2.37,118.0,3.95,18.5,68.1,-5.0,0.0,-0.8000000000000007,0.0,115.66666666666667,3.95,113,stable,Anglia Ruskin,2021
109,3.92,19.4,70.8,78.2,2.81,117.0,3.07,20.0,70.8,-3.0,0.8500000000000001,-0.6000000000000014,0.0,115.5,3.495,114,stable,Anglia Ruskin University,2023
113,3.94,18.8,70.8,79.0,2.81,114.0,3.92,19.4,70.8,4.0,0.020000000000000018,-0.5999999999999979,0.0,116.33333333333333,3.643333333333333,118,stable,Anglia Ruskin University,2024
113,3.01,18.8,70.8,79.0,2.81,118.0,3.94,18.8,70.8,3.0,-0.9300000000000002,0.0,0.0,117.66666666666667,3.623333333333333,121,stable,Anglia Ruskin University,2025
107,3.06,17.1,70.8,79.0,2.81,121.0,3.01,18.8,70.8,-1.0,0.050000000000000266,-1.6999999999999993,0.0,119.66666666666667,3.3366666666666664,120,stable,Anglia Ruskin University,2026
104,3.07,16.0,70.8,79.0,2.81,120.0,3.06,17.1,70.8,-7.0,0.009999999999999787,-1.1000000000000014,0.0,118.0,3.046666666666667,113,stable,Anglia Ruskin University,2027
318,3.14,15.3,65.9,92.3,2.3,57.0,3.14,14.9,68.4,0.0,0.0,0.40000000000000036,-2.5,57.0,3.14,57,stable,Arts University Bournemouth,2016
322,3.14,14.9,61.4,91.6,2.3,57.0,3.14,15.3,65.9,19.0,0.0,-0.40000000000000036,-4.500000000000007,63.333333333333336,3.14,76,falling,Arts University Bournemouth,2017
376,3.14,15.1,73.9,88.2,2.3,76.0,3.14,14.9,61.4,-15.0,0.0,0.1999999999999993,12.500000000000007,64.66666666666667,3.14,61,rising,Arts University Bournemouth,2018
161,3.14,15.7,79.2,89.3,2.3,61.0,3.14,15.1,73.9,-12.0,0.0,0.5999999999999996,5.299999999999997,62.0,3.14,49,rising,Arts University Bournemouth,2019
154,3.14,15.1,80.3,90.1,2.3,49.0,3.14,15.7,79.2,16.0,0.0,-0.5999999999999996,1.0999999999999943,58.333333333333336,3.14,65,falling,Arts University Bournemouth,2020
147,3.14,14.5,80.3,91.4,2.3,65.0,3.14,15.1,80.3,-17.0,0.0,-0.5999999999999996,0.0,54.0,3.14,48,rising,Arts University Bournemouth,2021
144,3.14,14.3,73.9,88.4,2.3,48.0,3.14,14.5,80.3,9.0,0.0,-0.1999999999999993,-6.3999999999999915,56.666666666666664,3.14,57,falling,Arts University Bournemouth,2022
148,3.84,14.5,73.9,88.7,2.63,57.0,3.14,14.3,73.9,14.0,0.6999999999999997,0.1999999999999993,0.0,58.666666666666664,3.3733333333333335,71,falling,Arts University Bournemouth,2023
145,3.89,14.4,73.9,90.1,2.63,71.0,3.84,14.5,73.9,1.0,0.050000000000000266,-0.09999999999999964,0.0,66.66666666666667,3.623333333333333,72,stable,Arts University Bournemouth,2024
145,3.02,14.4,73.9,90.1,2.63,72.0,3.89,14.4,73.9,21.0,-0.8700000000000001,0.0,0.0,78.66666666666667,3.5833333333333335,93,collapsing,Arts University Bournemouth,2025
148,3.13,14.4,73.9,90.1,2.63,93.0,3.02,14.4,73.9,-32.0,0.10999999999999988,0.0,0.0,75.33333333333333,3.3466666666666662,61,rising_fast,Arts University Bournemouth,2026
138,3.14,14.7,73.9,90.1,2.63,61.0,3.13,14.4,73.9,12.0,0.010000000000000231,0.29999999999999893,0.0,75.66666666666667,3.0966666666666662,73,falling,Arts University Bournemouth,2027
124,3.29,12.8,70.8,85.9,2.78,101.0,3.29,10.9,70.8,17.0,0.0,1.9000000000000004,0.0,109.5,3.29,118,falling,Arts University Plymouth,2027
368,4.0,16.0,76.6,90.8,3.05,27.0,4.0,16.2,73.0,5.0,0.0,-0.1999999999999993,3.5999999999999943,29.5,4.0,32,stable,Aston,2016
353,4.0,19.0,78.8,93.7,3.05,32.0,4.0,16.0,76.6,-2.0,0.0,3.0,2.200000000000003,29.666666666666668,4.0,30,stable,Aston,2017
342,4.0,20.9,82.3,90.4,3.05,30.0,4.0,19.0,78.8,19.0,0.0,1.8999999999999986,3.5,37.0,4.0,49,falling,Aston,2018
136,4.0,20.1,79.4,90.7,3.05,49.0,4.0,20.9,82.3,-4.0,0.0,-0.7999999999999972,-2.8999999999999915,41.333333333333336,4.0,45,stable,Aston,2019
131,4.0,17.4,79.2,92.1,3.05,45.0,4.0,20.1,79.4,-11.0,0.0,-2.700000000000003,-0.20000000000000284,42.666666666666664,4.0,34,rising,Aston,2020
126,4.0,16.1,79.2,89.8,3.05,34.0,4.0,17.4,79.2,9.0,0.0,-1.2999999999999972,0.0,40.666666666666664,4.0,43,falling,Aston,2021
133,3.82,17.0,70.8,93.1,3.06,47.0,3.99,15.8,70.8,1.0,-0.17000000000000037,1.1999999999999993,0.0,47.5,3.9050000000000002,48,stable,"Aston University, Birmingham",2023
134,3.86,17.0,70.8,91.65,3.06,48.0,3.82,17.0,70.8,-7.0,0.040000000000000036,0.0,0.0,45.333333333333336,3.89,41,stable,"Aston University, Birmingham",2024
134,3.08,17.0,70.8,91.65,3.06,41.0,3.86,17.0,70.8,-2.0,-0.7799999999999998,0.0,0.0,42.666666666666664,3.5866666666666664,39,stable,"Aston University, Birmingham",2025
133,3.08,18.0,70.8,91.65,3.06,39.0,3.08,17.0,70.8,5.0,0.0,1.0,0.0,41.333333333333336,3.34,44,stable,"Aston University, Birmingham",2026
120,3.12,17.3,70.8,91.65,3.06,44.0,3.08,18.0,70.8,8.0,0.040000000000000036,-0.6999999999999993,0.0,45.0,3.0933333333333337,52,falling,"Aston University, Birmingham",2027
323,3.86,16.5,66.1,81.9,2.99,64.0,3.86,17.8,61.9,-6.0,0.0,-1.3000000000000007,4.199999999999996,61.0,3.86,58,stable,Bangor,2016
342,3.86,16.9,67.2,82.3,2.99,58.0,3.86,16.5,66.1,4.0,0.0,0.3999999999999986,1.1000000000000085,61.333333333333336,3.86,62,stable,Bangor,2017
338,3.86,16.2,66.1,85.4,2.99,62.0,3.86,16.9,67.2,3.0,0.0,-0.6999999999999993,-1.1000000000000085,61.666666666666664,3.86,65,stable,Bangor,2018
132,3.86,16.7,68.7,88.2,2.99,65.0,3.86,16.2,66.1,-3.0,0.0,0.5,2.6000000000000085,63.0,3.86,62,stable,Bangor,2019
125,3.86,17.0,67.4,84.2,2.99,62.0,3.86,16.7,68.7,21.0,0.0,0.3000000000000007,-1.2999999999999972,70.0,3.86,83,collapsing,Bangor,2020
123,3.86,15.7,67.4,83.7,2.99,83.0,3.86,17.0,67.4,-11.0,0.0,-1.3000000000000007,0.0,72.33333333333333,3.86,72,rising,Bangor,2021
122,3.87,15.1,70.8,84.2,3.23,65.0,3.15,15.9,70.8,-2.0,0.7200000000000002,-0.8000000000000007,0.0,64.0,3.51,63,stable,Bangor University,2023
129,3.98,17.1,70.8,82.75,3.23,63.0,3.87,15.1,70.8,-11.0,0.10999999999999988,2.0000000000000018,0.0,60.0,3.6666666666666665,52,rising,Bangor University,2024
129,2.99,17.1,70.8,82.75,3.23,52.0,3.98,17.1,70.8,16.0,-0.9899999999999998,0.0,0.0,61.0,3.6133333333333333,68,falling,Bangor University,2025
129,3.1,15.2,70.8,82.75,3.23,68.0,2.99,17.1,70.8,-13.0,0.10999999999999988,-1.9000000000000021,0.0,58.333333333333336,3.356666666666667,55,rising,Bangor University,2026
119,3.15,14.3,70.8,82.75,3.23,55.0,3.1,15.2,70.8,-6.0,0.04999999999999982,-0.8999999999999986,0.0,57.333333333333336,3.08,49,stable,Bangor University,2027
476,3.86,16.7,85.1,96.1,3.17,8.0,3.86,16.6,83.3,3.0,0.0,0.09999999999999787,1.7999999999999972,9.5,3.86,11,stable,Bath,2016
478,3.86,15.5,85.1,96.4,3.17,11.0,3.86,16.7,85.1,0.0,0.0,-1.1999999999999993,0.0,10.0,3.86,11,stable,Bath,2017
479,3.86,15.7,84.9,94.8,3.17,11.0,3.86,15.5,85.1,0.0,0.0,0.1999999999999993,-0.19999999999998863,11.0,3.86,11,stable,Bath,2018
186,3.86,15.8,85.2,95.1,3.17,11.0,3.86,15.7,84.9,0.0,0.0,0.10000000000000142,0.29999999999999716,11.0,3.86,11,stable,Bath,2019
183,3.86,15.6,87.4,96.6,3.17,11.0,3.86,15.8,85.2,-2.0,0.0,-0.20000000000000107,2.200000000000003,10.333333333333334,3.86,9,stable,Bath,2020
174,3.86,14.9,87.4,96.2,3.17,9.0,3.86,15.6,87.4,0.0,0.0,-0.6999999999999993,0.0,9.666666666666666,3.86,9,stable,Bath,2021
315,3.96,19.0,55.4,89.9,2.52,69.0,3.96,20.0,56.8,1.0,0.0,-1.0,-1.3999999999999986,69.5,3.96,70,stable,Bath Spa,2016
321,3.96,18.5,54.5,87.1,2.52,70.0,3.96,19.0,55.4,6.0,0.0,-0.5,-0.8999999999999986,71.66666666666667,3.96,76,stable,Bath Spa,2017
306,3.96,18.7,60.1,85.0,2.52,76.0,3.96,18.5,54.5,14.0,0.0,0.1999999999999993,5.600000000000001,78.66666666666667,3.96,90,falling,Bath Spa,2018
122,4.0,19.9,64.1,85.2,2.52,90.0,3.96,18.7,60.1,13.0,0.040000000000000036,1.1999999999999993,3.999999999999993,89.66666666666667,3.973333333333333,103,falling,Bath Spa,2019
116,3.96,18.7,66.5,86.2,2.52,103.0,4.0,19.9,64.1,-9.0,-0.040000000000000036,-1.1999999999999993,2.4000000000000057,95.66666666666667,3.973333333333333,94,rising,Bath Spa,2020
109,3.89,17.2,66.5,84.1,2.52,94.0,3.96,18.7,66.5,-1.0,-0.06999999999999984,-1.5,0.0,96.66666666666667,3.9499999999999997,93,stable,Bath Spa,2021
124,3.81,16.6,70.8,82.1,2.71,105.0,3.93,18.0,70.8,-10.0,-0.1200000000000001,-1.3999999999999986,0.0,100.0,3.87,95,rising,Bath Spa University,2023
121,3.92,19.6,70.8,83.25,2.71,95.0,3.81,16.6,70.8,7.0,0.10999999999999988,3.0,0.0,100.66666666666667,3.8866666666666667,102,stable,Bath Spa University,2024
121,3.04,19.6,70.8,83.25,2.71,102.0,3.92,19.6,70.8,2.0,-0.8799999999999999,0.0,0.0,100.33333333333333,3.59,104,stable,Bath Spa University,2025
120,3.06,16.6,70.8,83.25,2.71,104.0,3.04,19.6,70.8,-12.0,0.020000000000000018,-3.0,0.0,99.33333333333333,3.34,92,rising,Bath Spa University,2026
100,3.14,14.6,70.8,83.25,2.71,92.0,3.06,16.6,70.8,0.0,0.08000000000000007,-2.0000000000000018,0.0,96.0,3.08,92,stable,Bath Spa University,2027
227,3.92,18.3,59.3,80.2,2.52,117.0,3.92,20.9,53.1,-7.0,0.0,-2.599999999999998,6.199999999999996,113.5,3.92,110,stable,Bedfordshire,2016
234,3.92,17.4,57.9,76.3,2.52,110.0,3.92,18.3,59.3,10.0,0.0,-0.9000000000000021,-1.3999999999999986,115.66666666666667,3.92,120,falling,Bedfordshire,2017
244,3.92,16.9,61.4,75.4,2.52,120.0,3.92,17.4,57.9,-11.0,0.0,-0.5,3.5,113.0,3.92,109,rising,Bedfordshire,2018
95,3.92,17.6,67.8,72.8,2.52,109.0,3.92,16.9,61.4,9.0,0.0,0.7000000000000028,6.399999999999999,115.66666666666667,3.92,118,falling,Bedfordshire,2019
98,3.92,17.0,70.2,66.3,2.52,118.0,3.92,17.6,67.8,4.0,0.0,-0.6000000000000014,2.4000000000000057,116.33333333333333,3.92,122,stable,Bedfordshire,2020
